0.008000	2.317000	SPEAKER_00
2.317000	2.996000	SPEAKER_01
2.997000	3.048000	SPEAKER_00
3.048000	3.167000	SPEAKER_01
3.336000	3.353000	SPEAKER_01
3.353000	5.136000	SPEAKER_00
6.324000	8.531000	SPEAKER_00
8.531000	25.424000	SPEAKER_01
8.582000	8.633000	SPEAKER_00
8.667000	8.990000	SPEAKER_00
26.019000	42.539000	SPEAKER_01
43.574000	44.491000	SPEAKER_01
44.491000	44.729000	SPEAKER_00
44.728000	44.966000	SPEAKER_01
44.966000	45.289000	SPEAKER_00
45.289000	45.663000	SPEAKER_01
45.662000	46.137000	SPEAKER_00
46.138000	49.754000	SPEAKER_01
50.178000	51.010000	SPEAKER_01
51.231000	53.353000	SPEAKER_01
54.134000	59.991000	SPEAKER_01
